identifier,value1,value2,value3,diff1,diff2,diff3,a,b,c,parabol_min,parabol_min_diff,value4,diff4
5 95  3,1.944124862,1.994124862,1.969124862,15887.4909,15886.30051,15886.02059,1400.176283,-5538.051751,21362.01865,1.97762661,15885.91904,1.97762661,15885.91904
5 95  5,-0.015,0.035,0.01,15856.46049,15921.68766,15885.83948,5175.359176,1201.036257,15873.31158,-0.1160340969,15803.63065,0.01,15885.83912
5 95  7,1.420411,1.470411,1.445411,15891.86875,15883.80807,15885.83948,3198.300512,-9406.931069,22800.79024,1.470614008,15883.80759,1.470614008,15883.80759
5102  1,31.39044554,31.89044554,31.64044554,15873.5677,15895.06942,15883.88206,6.983984923,-398.9493363,21515.02523,28.56172663,15817.68394,31.07654108,15861.85269
5102  2,16.13701366,16.63701366,16.38701366,15874.67347,15856.55774,15862.47431,50.26064185,-1683.475108,29952.90181,16.74744935,15855.9444,16.74744935,15855.9444
5102  3,1.80307273,1.85307273,1.82807273,15859.50809,15854.33686,15856.12609,1274.214277,-4762.137402,20303.42675,1.868656429,15854.02706,1.868656429,15854.02706
5102  5,0.02763362832,0.07763362832,0.05263362832,15837.2799,15902.08221,15853.97337,25132.30277,-1349.562268,15855.38174,0.02684915665,15837.26408,0.02735729204,15837.27057
5102  7,2.975,3.025,3.0,15843.96164,15834.01941,15837.33786,2644.260367,-16064.40675,40232.21482,3.037599276,15833.5993,3.0,15837.33751
3 18  1,141.6556848,141.9056848,141.7806848,15838.92837,15835.96202,15837.33786,6.869596725,-1959.817641,155610.6227,142.6443006,15832.21394,142.6443006,15832.21394
3 18  4,-0.795168,-0.800168,-0.797668,15841.35618,15827.02721,15834.11122,12875.81136,23407.04058,26312.6114,-0.9089540038,15674.64942,-0.80816968,15805.43522
3 18  8,0.99875,1.00125,1.0,15809.11868,15807.12845,15808.12319,236.2961403,-1268.682045,16840.5091,2.684517071,15137.60946,1.0,15808.12284
3 18  9,1.555134263,1.565134263,1.560134263,15809.34675,15807.19037,15808.12319,5814.595777,-18358.73842,30297.38391,1.578677102,15806.12357,1.578677102,15806.12357
3 18 13,-0.0885,-0.0895,-0.089,15792.22665,15823.90718,15806.11773,7796723.324,1356136.231,74744.39684,-0.08696834392,15773.93542,-0.087615,15777.19573
3 18 14,4.68533779,4.69033779,4.68783779,15778.13228,15777.03181,15777.50973,11570.22741,-108698.7919,271074.5428,4.697348982,15776.46271,4.697348982,15776.46271
4 12  1,0.28931062,0.29031062,0.28981062,15775.84137,15777.05516,15776.43975,34066.97932,-18532.15985,18285.96423,0.2719959359,15765.6278,0.2864175138,15772.71312
4 12  2,1.54461893,1.54561893,1.54511893,15772.10116,15772.1466,15772.12093,11817.14897,-36472.36058,43914.08278,1.543196277,15772.07689,1.543196277,15772.07689
4 12  3,12.7901402,12.8026402,12.7963902,15772.15441,15772.83819,15772.46454,812.9994838,-20752.21507,148199.1901,12.762748,15771.54404,12.762748,15771.54404
3 17  1,9.875,10.125,10.0,15770.99298,15770.99298,15770.99298,,,,10.0,,10.0,
3 17  4,0.3541,0.3591,0.3566,15770.99298,15770.99298,15770.99298,,,,0.3566,,0.3566,
3 17  8,0.23895,0.24145,0.2402,15770.99298,15770.99298,15770.99298,,,,0.2402,,0.2402,
3 17  9,1.9175,1.9275,1.9225,15770.99298,15770.99298,15770.99298,,,,1.9225,,1.9225,
3 17 13,-0.1345,-0.1355,-0.135,15770.99298,15770.99298,15770.99298,,,,-0.135,,-0.135,
3 17 14,5.5964,5.6014,5.5989,15770.99298,15770.99298,15770.99298,,,,5.5989,,5.5989,
3 10  1,199.875,200.125,200.0,15788.91104,15753.93672,15770.99298,27.57736766,-11170.84438,1146845.162,202.5364515,15593.57126,200.0,15770.99263
3 10  4,-0.3039405408,-0.3089405408,-0.3064405408,15772.21354,15771.25947,15770.99298,118963.8504,73101.5066,27000.86206,-0.307242521,15770.91612,-0.307242521,15770.91612
3 10  8,0.423200985,0.425700985,0.424450985,15774.27982,15768.02314,15771.02243,82589.83977,-72613.34874,31712.55673,0.4396021892,15752.06284,0.4299579948,15759.74456
3 10  9,2.781051807,2.791051807,2.786051807,15757.43698,15757.29191,15757.34169,910.1409467,-5085.906043,22862.34832,2.794021113,15757.28354,2.794021113,15757.28354
3 10 13,-0.04634383,-0.04734383,-0.04684383,15723.24123,15795.10954,15757.27229,7612393.678,641319.043,29094.89901,-0.04212334977,15587.64548,-0.0458803917,15695.09718
3 10 14,4.84073741,4.84573741,4.84323741,15697.31071,15701.66439,15699.45092,5860.595493,-55897.77405,148953.954,4.768950025,15667.10819,4.792330036,15670.31174
4 13  1,0.3242564163,0.3252564163,0.3247564163,15650.91919,15651.9672,15651.31101,528736.8843,-342373.38,71075.11276,0.3237653644,15650.79134,0.3237653644,15650.79134
4 13  2,1.822246282,1.823246282,1.822746282,15653.33822,15649.57065,15650.85278,2406588.383,-8776967.627,8018177.071,1.823529044,15649.37788,1.823529044,15649.37788
4 13  3,10.10483445,10.11733445,10.11108445,15650.23414,15650.50319,15648.88229,38051.15989,-769455.4575,3905554.62,10.11080161,15648.8789,10.11080161,15648.8789
4 13  4,1.414663807,1.415663807,1.415163807,15647.47238,15650.40186,15648.75804,716329.3545,-2024517.272,1446087.695,1.413119021,15645.76261,1.413119021,15645.76261
5 71  1,89.75,90.25,90.0,15666.51189,15625.97603,15645.82683,6.674131631,-1282.415406,77002.74713,96.07357755,15399.62882,90.0,15645.82648
5 71  2,12.14464681,12.64464681,12.39464681,15651.34665,15643.45183,15645.82683,25.15858286,-639.4531446,19706.57831,12.7084492,15643.34906,12.7084492,15643.34906
5 71  3,2.757904692,2.807904692,2.782904692,15646.79901,15640.14041,15643.39565,118.4947959,-792.6915936,16931.69092,3.344837161,15605.97842,2.835983739,15636.6605
5 71  5,0.1515037451,0.2015037451,0.1765037451,15641.93316,15636.99217,15636.29846,5062.72379,-1885.99913,15811.46244,0.1862632851,15635.8159,0.1862632851,15635.8159
5 71  7,2.264323,2.314323,2.289323,15632.77798,15640.26905,15636.41561,172.6481924,-640.6734734,16198.27498,1.855430586,15603.91206,2.24167977,15629.66917
5 73  1,56.19432923,56.69432923,56.44432923,15628.8516,15628.93105,15628.89076,0.009087225597,-0.866941865,15648.87315,47.70113033,15628.19575,55.63238594,15628.76738
5 73  2,0.05195525234,0.5519552523,0.3019552523,15628.31149,15629.35461,15628.83289,0.002546021889,2.084708582,15628.20317,-409.4050783,15201.45769,0.2,15628.61987
5 73  3,0.7449,0.7949,0.7699,15628.61435,15628.64097,15628.62767,-0.0114475537,0.5499129341,15628.21107,24.01879688,15634.81485,0.7449,15628.614
5 73  5,1.7359,1.7859,1.7609,15628.60651,15628.60734,15628.60694,-0.02010585158,0.08747086026,15628.51526,2.175258777,15628.61004,1.7359,15628.60616
5 73  7,2.975,3.025,3.0,15628.54649,15628.53614,15628.54124,0.1222163351,-0.9403267835,15630.26227,3.846976684,15628.45321,3.0,15628.54089
5 74  1,63.70256146,64.20256146,63.95256146,15628.5921,15628.57714,15628.54124,0.6941269403,-88.81229852,18469.38454,63.97410427,15628.54057,63.97410427,15628.54057
5 74  2,27.91946663,28.41946663,28.16946663,15628.9071,15628.45706,15628.60603,1.216746893,-69.45030993,16619.47262,28.5393414,15628.43922,28.5393414,15628.43922
5 74  3,0.6930809517,0.7430809517,0.7180809517,15629.09985,15629.44388,15628.43569,1337.882275,-1914.534955,16313.36081,0.7155095001,15628.42649,0.7155095001,15628.42649
5 74  5,2.907961477,2.957961476,2.932961477,15628.38698,15628.44703,15628.41512,3.02186796,-16.52500889,15650.88743,2.734237417,15628.29543,2.878881862,15628.35865
5 74  7,1.425150545,1.475150545,1.450150545,15628.20276,15628.52519,15628.31087,84.95705495,-239.9524009,15797.61868,1.412198204,15628.18816,1.412198204,15628.18816
5 95  1,89.75,90.25,90.0,15664.92859,15596.20715,15628.22822,37.43443085,-6875.640431,331216.9771,91.83578159,15502.07032,90.0,15628.22787
5 95  2,32.48964426,32.98964426,32.73964426,15631.17343,15626.80383,15628.22822,12.16657044,-805.3975831,28955.50266,33.0987926,15626.65853,33.0987926,15626.65853
